Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text,extracted_hashtags
0,0, Enjoying a beautiful day at the park!              ,positive,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,enjoying a beautiful day at the park,
1,1, Traffic was terrible this morning.                 ,negative,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,traffic was terrible this morning,
2,2, Just finished an amazing workout! 💪               ,positive,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,just finished an amazing workout flexed_biceps,
3,3, Excited about the upcoming weekend getaway!        ,positive,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,excited about the upcoming weekend getaway,
4,4, Trying out a new recipe for dinner tonight.        ,neutral,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,trying out a new recipe for dinner tonight,
5,5, Feeling grateful for the little things in life.    ,positive,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,feeling grateful for the little things in life,
6,6, Rainy days call for cozy blankets and hot cocoa.   ,positive,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,rainy days call for cozy blankets and hot cocoa,
7,7, The new movie release is a must-watch!             ,positive,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,the new movie release is a must watch,
8,8, Political discussions heating up on the timeline.  ,negative,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,political discussions heating up on the timeline,
9,9, Missing summer vibes and beach days.               ,neutral,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,missing summer vibes and beach days,
10,10, Just published a new blog post. Check it out!      ,positive,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,just published a new blog post check it out,
11,11, Feeling a bit under the weather today.             ,negative,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,feeling a bit under the weather today,
